,index,Unnamed: 0,id,tweet,label
26,286,286,1.0605742402048205e+18,"Research. Who inside the bar were also witnesses at the Las Vegas Route 91 Harvest Festival concert?
Are people sti… https://t.co/rCPVqWepsG",query
27,296,296,1.0605734310901105e+18,"Hmm 🤔 Are you putting two and two together⁉️
#BorderLineShooting 
#LasVegasShooting 
#ConnectTheDots
#RonHelus https://t.co/940ZpYz1Jh",query
28,330,330,1.060569320697131e+18,"RT @LauraLoomer: ISIS claimed responsibility for the #LasVegasShooting 4 times. 

Besides his body in the room, there is zero evidence whic…",deny
29,345,345,1.0605679622292685e+18,"RT @taxcutsforall: What are the odds?  When is it statistically impossible?  #FalseFlag?  #LasVegasShooting survivors, this isn’t the first…",query
30,348,348,1.0605675585862164e+18,"RT @sovereignity77: WHAT! #LasVegasShooting survivors attacked again in California?!

https://t.co/zmhcur6QKu",query
31,351,351,1.0605674701366764e+18,"WHAT! #LasVegasShooting survivors attacked again in California?!

https://t.co/zmhcur6QKu",query
32,352,352,1.0605672981787607e+18,"""Las Vegas"" is trending on Twitter, because of the #LasVegasShooting...

Why hasn't anyone in the Media - alternati… https://t.co/ZaeFkulK49",query
33,407,407,1.0605633905344676e+18,@sharonfromNOLA Did you fully read the ‘reporter’s’ tweet? she is also spreading misinformation from the horrific 2… https://t.co/pMXaMBHwnS,deny
34,485,485,1.0605589042901443e+18,"And there it is... Two days after dems take the House, gun violence breaks out &amp; we need stricter gun laws⁉️
We own… https://t.co/3lvJ34JyQt",query
35,592,592,1.0605541419515781e+18,"RT @LauraLoomer: 12 were killed in a California bar shooting last night. 

The suspect has been described as a Middle Eastern man with a be…",query
36,602,602,1.060553598600405e+18,Do you remember the #LasVegasShooting? https://t.co/lNhnYojP5i,query
37,763,763,1.0605449397406556e+18,@EdKrassen @Real_ImoGirl Irony: it has been reported some at the Thousand Oaks Club we’re likewise at the… https://t.co/1BzVENRA6o,deny
38,819,819,1.0605431905063977e+18,"RT @LauraLoomer: Yup. Just like the #LasVegasShooting. 

ISIS claimed responsibility for vegas and now a middle eastern man is being descri…",deny
39,876,876,1.0605418125348454e+18,"I'm so sorry for your loss. 😕

It's ridiculously transparent that the facts of #LasVegasShooting are being kept fro… https://t.co/svqU7gkuKE",deny
40,13,13,1.0606115312878141e+18,"RT @Marina_Sirtis: So do we need armed guards outside bars as well now, @realDonaldTrump? Your lily-livered cowardice to stand up to the ev…",query
41,36,36,1.0606114514785729e+18,"RT @themiamivoice: It's just another mass shooting, im going back to sleep 😴 #CaliforniaShooting https://t.co/cJyEkEikbu",deny
42,48,48,1.0606114181464392e+18,"RT @AngelaBelcamino: Answer this... 

If you could snap your fingers and have all of the guns in America disappear, would it save lives?…",query
43,52,52,1.060611392347222e+18,"RT @dave__whiteside: Thoughts on yet another mass shooting in the States:

1. The notion that you can't work on mental health AND gun refor…",deny
44,63,63,1.0606113589899224e+18,RT @sjredmond: Why has gun violence research has been shut down for 20 years? The NRA of course. Save us from the facts! #massshooting #Cal…,query
45,68,68,1.0606113421077299e+18,"RT @BettyBowers: Guns don't kill people?  Well, they certainly seem to help . . .  #CaliforniaShooting https://t.co/IBD8QgcAuA",query
46,92,92,1.0606112807116225e+18,"RT @austinjrandall: two days ago, we had the opportunity to vote to elect government officials that are pro #guncontrolnow? last night, 13…",query
47,107,107,1.0606112382863196e+18,"RT @CommonSenseWise: Be it #Californiashooting or any other #massshooting, the problem isn’t the guns, the laws or the law enforcement. It’…",deny
48,110,110,1.0606112343310254e+18,"RT @AynRandPaulRyan: According to Republicans, we could only talk about gun reform for 6 out of the 313 days so far this year.

Because we'…",deny
49,111,111,1.0606112342807306e+18,RT @Harryslaststand: The last thing America needs is thoughts and prayers from politicians for the latest victims to a 2nd amendment hijack…,deny
50,112,112,1.0606112304427663e+18,"RT @nachi316: He doesn’t look black.
He sureshot doesn’t look Muslim.
I’m pretty sure he isn’t a hombre with MS-13.
Hmmmm... what could he…",deny
51,117,117,1.0606112161445478e+18,RT @taradublinrocks: Why does @PrisonPlanet still get to be here when all of the other #InfoWars bullshittery has been banned? #DeleteHisAc…,query
52,118,118,1.060611207219032e+18,"RT @austin_sam001: Oh, so there was another mass shooting in the US, the 304th this year? Thoughts &amp; prayers were offered, right? Is #GunCo…",query
53,131,131,1.0606111814995558e+18,RT @kharyp: Mental illnesses didn’t shoot &amp; kill 12 people in #ThousandOaks last night. A man with a gun did. Im sick of people using menta…,deny
54,132,132,1.0606111766886931e+18,RT @KingAtlasLIVE: Blaming the NRA for gun violence is like blaming McDonald's for making you fat. People are responsible for their own act…,deny
55,133,133,1.0606111734631465e+18,RT @AndyOstroy: Another shooting by a white male. 12 dead. But let's keep demonizing immigrants.... #CaliforniaShooting https://t.co/7IOfnR…,deny
56,134,134,1.0606111695877734e+18,RT @taradublinrocks: Why does @PrisonPlanet still get to be here when all of the other #InfoWars bullshittery has been banned? #DeleteHisAc…,query
57,142,142,1.0606111359956091e+18,"@ABC This right here, makes it very clear to me how wounded and angry America has become... When will gun violence… https://t.co/1Ufts8bv0H",query
58,174,174,1.0606110180601651e+18,What the hell is happening when our country suffers mass shootings on an almost WEEKLY BASIS? #CaliforniaShooting,query
59,207,207,1.0606108829237208e+18,another shooting in the states? when does it end? THIS IS BRUTAL #CaliforniaShooting #ThousandOaks,query
