,id,parent_id,parent_tweet,tweet,topic,classification
18,544293748377518080,544291965513134080,"According to Seven, this is a picture of the gunman",You are a danger to the rest of society. Stop posting pics without any verification &amp; creating panic.,sydneysiege,comment
19,553196346375954433,553152395371630592,This widely shared cartoon about the CharlieHebdo attack is actually by and not Banksy,Does this cartoon means that hatred cartoons to holy values will continue?,charliehebdo,query
20,524957146656821249,524956129017995264,"Police say shots fired at  Ottawa sites - National War Memorial, Parliament Hill, and now Rideau shopping centre",a bullet is just as evel as a bomb we bomb them they shot us but we make a big deal of both,ottawashooting,comment
21,524992668301262848,524991576163250176,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters.,Your info is out of date. Rideau shooting didn't happen. Police press conference says nothing about number of shooters.,ottawashooting,deny
22,500294827351621632,500286680381665282,is that Mike Brown? the guy in these pics looks a lot bigger than the pics of Mike Brown in prior still photos released?,He is large. In the store photos you have some prospective unlike the still photos.,ferguson,comment
23,544307827070615553,544281375826665472,so its not an IS flag - must be a peaceful Islamic extremist group then!,It is according to this terrorism expert,sydneysiege,support
24,524955418955902976,524947674164760577,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. cdnpoli ableg,maybe you should get your info a little more locally,ottawashooting,comment
25,553541495588802560,553538058440941568,"MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded:","“AP: MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded:",charliehebdo,comment
26,500301494193627136,500301270532370433,"- Even if not innocent, no justification for violating rights, removing due process &amp; execution Ferguson MURDER!",Absolutely my point!!,ferguson,comment
27,525026551411519488,525025463648137216,BREAKING: A source confirms to CP that the deceased soldier in Ottawa is Cpl. Nathan Cirillo. Cirillo was a member of the Hamilton Argylls,I teared up when I heard. RIP Cpl Cirillo.,ottawashooting,comment
28,553565149790224387,553562623200210944,"I think we don't have enough facts about the big picture right now (AQAP/ISIS etc), we'll need to wait and see","ok. I would like to hear your reactions, your personal thoughts, once you have had time to process these events.",charliehebdo,comment
29,544520601038098433,544520273718812672,Police confirm that sydneysiege is finally over. Two people reportedly injured after suffering gunshot wounds,,sydneysiege,comment
30,544284034902528000,544283762201083904,"this might not end well honestly, i wouldnt expect isis to hold somthing up without trying to behead or blow it up",is there a live feed somewhere,sydneysiege,query
31,500319801344929795,None,,"The day Ferguson cops told a dirty, bloody lie (via",ferguson,support
32,524941900223381504,524940223160287232,why shouldn't a private citizen make a comment on a news event?,Not a comment. Stated gunman had been neutralized.Simply not true. Over k followers.Irresponsible.,ottawashooting,deny
33,552818473806491650,552817984524152832,hatred pedophile and disgrace in Judaism . We as Muslims don't accept . What freedom if abuse Islam. Death,go away. Sorry excuse for human,charliehebdo,comment
34,553589038196981760,553588178687655936,Reports: CharlieHebdo suspects killed,Can you confirm the reports that those suspects were killed by French police?,charliehebdo,query
35,544452279441829888,544358533819420672,BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. sydneyseige,O Lord Save All Hostages in Sydney &amp; Turn Militants  Righteous Ways MSGTheFilm ,sydneysiege,comment
36,553595330009518080,553594432743018496,"that's a good idea, just attach a note saying "" I think this is your shit have it back""",wonder if get the impression we are sick of these extremists and how the government just let them in,charliehebdo,comment
37,500304474616119296,500303952391331843,".orangeseahorse - Even if robbery took place &amp; stop legal, actions after st &amp; d shot &amp; after MikeBrown put HandsUp = MURDER",Besides a person who committed a robbery wouldn't call attention to himself by walking in the middle of the street. It's a lie.,ferguson,comment
38,544519358232674305,544518335019229184,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,not good news....,sydneysiege,comment
39,553550998497918976,553550000584540160,StopKillingInnocentPeople FreePalestine freeBurma FreeSyria FreeKashmir,fuck you sarracen and stop islamization,charliehebdo,comment
40,544349614393282561,544346015013167104,Does seem terribly convenient to Abbott's gov't.,he will up oz's military budget then become a huge consultant / board member to 'defense' companies when he retires.,sydneysiege,comment
41,576801654118428672,576800982471962624,Hopefully he got hold of some American CIA provocateurs and sabatoger's in Moscow red handed for killing Nemtsov.,Military Coup to overthrow Putin my st thought buddy. Serious rumours Putin is Dead or Critical. Trying  source,putinmissing,comment
42,552815897425891328,552814516262555648,hehe u Jews are good by changing subjects.open another topic. We are talking of anti semitsm and anti islam,anti semitism results in ppl killing Jews. But Jews don't slaughter anyone for offensive cartoons,charliehebdo,comment
43,500319394325479424,500317100704288768,Someone needs to explain how the cop shot MichaelBrown &amp; then NEVER called an ambulance?,.bucci - Wilson knew he intentionally killed an alleged suspect trying to surrender to him &amp; people saw it.,ferguson,comment
44,544991347304714240,544505605567041536,It has everything  do with Islam. U dont see the Jehovah's witnesses cutting heads off &amp; bombing people!,No. It's fanatics. All religions have extremist factions and they're all wrong...,sydneysiege,comment
45,553589051044151296,None,,Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson AFP,charliehebdo,support
46,524925730053181440,None,,"Shooter still on loose after uniformed soldier shot at Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices.",ottawashooting,support
47,544355074672033792,544320787436433409,Stick to the facts and stop trying to scare thr australian puplic!,their entire coverage has been a joke. See the uni professor explain hypotheticals in hostage situations?,sydneysiege,deny
48,544285782639267840,544278985249550337,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,"Ta, trying that one too. I'm on this one",sydneysiege,comment
49,524969433308340224,524967855105007616,all I am trying to point out is that sensationalism has never been very useful to anyone. Canada terror,"I think that what they are doing around the world is ""sensational"". It's about time we matched it.",ottawashooting,comment
50,525000734992248832,524999052367527937,"Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done.",we won't agree on this and that's okay. If you're in Ottawa stay safe.,ottawashooting,deny
51,525031054537936897,525025279803424768,The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of HamOnt ottawashooting,Rest in peace. An innocent life taken so tragically. In our hearts and prayers.,ottawashooting,comment
52,552812322075729920,552806757672964097,"UPDATE:  now confirmed dead in CharlieHebdo attack in Paris, is reporting. Story: (AP)",This is not about political correctness. These medieval assholes want to destroy fee speech &amp; western values: War.,charliehebdo,deny
53,499456567990026240,499456140044824576,St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about  a.m. Man in critical. ferguson,source?,ferguson,query
54,544520807074918400,544518335019229184,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,not confirmed,sydneysiege,deny
55,499532946412687360,499532679059374081,gm wow just cld Potus all but N wrd on air.Birthers,"when u spew racism,hate of us blks&amp;Potus u shw slvs",ferguson,comment
56,544370150359572480,544367462012432384,"MORE: Police confirm  hostages escape Sydney cafe, unknown number remain inside Sydneysiege",Not cool Yo! My Prayerz hope that hostages make it out safe,sydneysiege,comment
57,544284571626635266,544283772569788416,Live Updates: Siege in Sydney Cafe,Send in the British SAS it will be over within mins,sydneysiege,comment
58,552852233901965313,552832817089236992,Stills from eyewitness video show two CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man,brain washed fanatics. The amount of fervor needed to commit such a horrific act is unimaginable.,charliehebdo,comment
59,499459462965362688,499453449206239232,I was raised by a hater; + knew very wrong-always.But it baffles me w Diversity in creation y ppl hate rt race..,HatersHate and LiarsLie,ferguson,comment
60,553237817086967809,553160652567498752,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:,COWARDS less than humans,charliehebdo,comment
61,524964692423630849,524938903762268160,stay safe. Hope you're never in the same situation.,well said,ottawashooting,support
62,524937817924067328,524925215235911680,BREAKING news: Shots fired at Parliament Hill. Follow developing story:,,ottawashooting,comment
63,524939106367721472,524932935137628160,The gunman in Ottawa has been shot and killed. I'm at a loss for words this morning. That isn't my Canada.,my thoughts also,ottawashooting,support
64,553591557325336576,553590835850514433,"Hostage-taker in supermarket siege killed, reports say. ParisAttacks",,charliehebdo,query
65,552844745647460352,552844369649098754,I don't have it.. why don't you try her here,Thank you for the reply mam. Really appreciate. I have tweeted mam also.,charliehebdo,comment
66,553578217387614208,553576010898497536,Breaking: Gunman at Paris store threatens to kill hostages if CharlieHebdo suspects are harmed.,Omg “WSJ: Breaking: Gunman at Paris store threatens to kill hostages if CharlieHebdo suspects are harmed.,charliehebdo,comment
67,552814012791279617,552810448324943872,"CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports",pussies,charliehebdo,comment
68,524961643688890368,524959809402331137,Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog:,US official - whatever. Take your source from the Canadian government what has your channel become,ottawashooting,comment
69,524991797630865408,524991576163250176,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters.,The police chief just totally dodged that question and wouldn't say there was more than ..jUst FYI,ottawashooting,comment
70,500281521841139712,500279160795721728,"Question for Ferguson police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIE","I could not agree more, it just plain sounds preposterous. And why did he NOT get OUT of the car. It has to be a huge LIE.",ferguson,support
71,544280076628414464,544272537341812736,SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window,Oh dear! PRAY for these innocent people in Sydney who are being held up in a Cafe just before Christmas! Good Lord Almighty!,sydneysiege,comment
72,553587741720854528,553587377835614209,“AFP: BREAKING CharlieHebdo gunmen's hostage freed and safe after police assault” Hoping this is accurate.,"If so that hostage will be the person best able to give an insight into the attack, if the suspects were responsible...",charliehebdo,query
73,553552100417110017,553551840428949504,A lot of shifting sands in the coverage right now. We'll know soon enough.,Absolutly right.,charliehebdo,comment
74,500287202124103680,500286058664579072,Update: Ferguson police release stills from convenience store footage showing robbery,oh well that just justifies everything doesn't it. HANDSUPdontshoot,ferguson,comment
75,544300001568911360,544297696308518912,"UPDATE:  people being held hostage in Sydney shop, Opera House evacuated after suspicious package found: reports",While Bashar al-Assad was killing over  people World Leaders just sat there twidling their thumbs. lslamicVolcano Eruption,sydneysiege,comment
76,500371968831787009,500371149713178625,In what world do you let a cop who killed someone leave town? Ferguson,"Ferguson Missouri, obvs.",ferguson,comment
77,553551562732470272,553549686129561600,UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in CharlieHebdo shooting - Reports,"“RT_com: UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in CharlieHebdo shooting"" &lt;-- :(",charliehebdo,comment
78,552834026948415488,552833028201144320,URGENT:  gunmen involved in deadly attack on CharlieHebdo - French interior minister Paris,"not men, not human, these are Zealots, the same beasts Mosses used in the murder of  scores of ten when back from the mountain.",charliehebdo,comment
79,500307074589659137,500303144429973508,".mmwlawtaos - Ferguson PD tried to justify probable cause, even st &amp; d shot, everything after = premeditated murder.",Probable cause for what? The alleged robbery that cop wasn't aware of (so it appears) or alleged assault of cop?,ferguson,comment
80,525060425184858112,None,,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog:",ottawashooting,support
81,553195335661912064,553184482241814530,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. CharlieHebdo",I suspect they were rather distracted. Can't think why...,charliehebdo,comment
82,500379240299122690,500377906305327104,"Ferguson PD charged HenryDavis w/ ""destruction of property"" for bleeding on their uniforms:",after they beat him.,ferguson,comment
83,553591773537513473,553590835850514433,"Hostage-taker in supermarket siege killed, reports say. ParisAttacks",good work ,charliehebdo,comment
84,544382892378714113,None,,Five Hostages Escape Sydney Cafe Siege — Live Updates From,sydneysiege,support
85,500321053197864961,500320401369870336,"they've systematically only released information that makes them look good, even info that might taint",What other info do they have ready to release? All they have said is this is why we approached him.,ferguson,deny
86,499368327530414080,499366666300846081,Line of police cars with high beams on greets anyone trying to enter Ferguson. It's shut down. No media allowed.,Yeah Land of the Free My A%&amp;,ferguson,comment
87,544320115647741952,544319832486064128,"Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated""","RT Hostage situation erupts in Sydney cafe, Australian prime minister says it may be “politically motivated”",sydneysiege,support
88,500340654841798656,500327120770301952,How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. Ferguson,“zellieimani: How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. Ferguson” truth,ferguson,comment
89,544354628775600128,544326091519700992,"“mashable: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up SydneySiege” Uber=ugly opportunism!","""Grease my palm with silver lovie."" The disgraceful pricks. Run 'em outta town folks.",sydneysiege,deny
90,544282786039726080,544278985249550337,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,"Yes. This is what real news is about: “mscott: Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney...""",sydneysiege,comment
91,544292185722851329,544288681021145090,Up to  held hostage in Sydney Lindt Cafe siege,"Sick. ""Independent: Up to  held hostage in Sydney Lindt Cafe siege",sydneysiege,support
92,525061909968478208,525060425184858112,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog:",RIP,ottawashooting,support
93,499693411130429443,499691687326007296,"I don't believe that was his ""point"" at all.",Uh Sorry. I believe it was his point. Sharpton and Jesse remain silent on Chicago crimes happening daily.,ferguson,support
94,553584470264410113,553573995858382849,BREAKING: Gunman at kosher grocery store threatens to kill hostages if police storm terrorist brothers,where's Eddy Caplan when you need him,charliehebdo,comment
95,544518918912495616,544518335019229184,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,,sydneysiege,comment
96,544530369312477184,544515538383564801,"Haron Monis,Hostage-taker in Sydney: Fled Iran ,suspect in ex-wife killing, sex assaults",No wonder dude upped his game. Seems like men engaged in femicide &amp; sexual assaults in Australia can roam freely?,sydneysiege,comment
97,544478273238212608,544477183851630592,Just shoot him! Marksman have clearly had enough opportunities to do so,They don't know whether or not he has a booby trapped bomb attached to his person. EasyToCriticise,sydneysiege,comment
98,499596317413621760,499570907602767872,MikeBrown would need to be shot in Benghazi for foxnews to cover it,"or be white. Or old and white. Or an old, rich and white Senator.",ferguson,comment
99,500308482676240384,500308366561124352,BAM ANTI-WHITES get caught with their foot in their mouth in front of the WORLD LMAO,anti-whites ? lulz,ferguson,comment
100,500295446578085889,500294803402137600,Photos of alleged robbery involving Michael Brown in Ferguson (via police),Here's a petition to stop militarization of police departments,ferguson,comment
101,524946868887756801,524944399890124801,Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.,Ottawa MT Gunman shot dead inside Parliament; police believe there may be others on loose. Soldier shot earlier at War Memorial,ottawashooting,comment
102,544392471007227904,544391176137089024,"Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. sydneysiege","“cnni: Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. sydneysiege”",sydneysiege,support
103,500382019109810176,500371149713178625,In what world do you let a cop who killed someone leave town? Ferguson,"in Egypt, they killed 's and still free",ferguson,deny
104,524978385660153856,524977952640221184,at least your polite self absorbed person.,"So now you judge me for  fucking RT with comment, one. Why don't you look at yourself in the mirror and judge that instead",ottawashooting,comment
105,553467311261503488,None,,Reports of shooting at Dammartin en Goele on route N north east of Paris - French media says car chase under way,charliehebdo,support
106,544314667795873792,544314008980172800,how do we know the guy isn't just pissed that he got fired or foreclosed on. Or his gf is cheating on him.,We don't.,sydneysiege,comment
107,552814805456027648,552811386259386370,At least  dead in the Paris shooting. Updated story and background info: CharlieHebdo,More madness - tragic: “WSJ: At least  dead in the Paris shooting.http://t.co/xESRZWpb CharlieHebdo,charliehebdo,comment
108,524970687803715584,524970281379823616,"Call me bad Canuck, I hope those fucktards get their asses kicked.",And I know they will too :) stupidattack,ottawashooting,comment
109,500303431928922113,None,,"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists Ferguson",ferguson,comment
110,553213579672178689,553212962044149761,Paris says highest alert level extended north to region where attack suspects spotted -,How stupid,charliehebdo,query
111,524958146343624704,524957372369108993,I had confirmed the first gunman was dead when I tweeted.,I had heard the same before I saw you &amp; many others tweet.,ottawashooting,support
112,553535342049902592,553461741917863936,Rural region of northern France searched in hunt for CharlieHebdo gunmen - latest updates,,charliehebdo,comment
113,553550482925715458,553550000584540160,StopKillingInnocentPeople FreePalestine freeBurma FreeSyria FreeKashmir,Right a tradgedy happening in France and you post this. This is the reason the world hates Islam.,charliehebdo,comment
114,500288302100918272,500286058664579072,Update: Ferguson police release stills from convenience store footage showing robbery,Waiting to see an outpouring of sympathy for the owner of the store that was attacked. Not holding my breath.,ferguson,comment
115,525036307173879808,524995771587108864,This afternoon we've lowered our flags to half mast in honour of the Canadian Reservist who lost his life in Ottawa.,The flags are also at half-mast. RIP Cpl. Nathan Cirillo. Our thoughts and prayers are with his family &amp; CAF,ottawashooting,comment
116,544302024352092162,544301453717041152,BREAKING UPDATE: Gunman says four devices are located around Sydney. Security response underway. Police calling for calm. News,oh cock,sydneysiege,comment
117,552842578539073537,552839226317094912,"Police Officer down in picture, killed by armed terrorists who shouted, ""the prophet is avenged"" after slaughtering him.",so sad,charliehebdo,comment
118,499369781846233088,499368931367608320,"Currently the FoxNews website has zero, repeat, ZERO coverage of the Ferguson protests, probably due to lack of cowboy hats.","get some ""don't tread on me"" flags and fox will go",ferguson,comment
119,553485100932157440,553478289474740224,"BREAKING :  dead, several injured in shootout North-East of Paris (French radio ) CharlieHebdo","Siege: “FRANCE: BREAKING :  dead, several injured in shootout North-East of Paris (RTLFrance ) CharlieHebdo”",charliehebdo,support
120,500368855051804672,500363740311982081,What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. ferguson,exactly.,ferguson,support
121,500288465355816960,500288349924782080,Did anyone think of comparing the clothes that MikeBrown was wearing when he was laying on the street to the security footage? Ferguson,Yeah. just did on CNN.,ferguson,comment
122,552834504520630274,552808923707617282,“AFPphoto: CharlieHebdo -  dead including  police in Paris shooting. Photo AFP tragedy,", spotted your photo",charliehebdo,comment
123,525043841490251776,524980744658382848,"RCMP to hold news conference on Ottawa shootings at  pm ET,  am PT. Watch live coverage",let's cut off his head and send back to his family in the middle east.,ottawashooting,comment
124,544276206728671232,544271362022338560,"Black Islamic flag being held up in window of lindt chocolate store in Martin Place, Sydney - hostages inside.",doing what their man made twisted fairy tale tells them to do. banislam,sydneysiege,comment
125,500311633458364416,500298752469770240,Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. Ferguson MikeBrown,Fox News will talk about it now,ferguson,comment
126,552997008483811328,552982613288157184,Banksy says JeSuisCharlie in a beautiful way (vi,“MelanieTait: Banksy says JeSuisCharlie in a beautiful way (vi,charliehebdo,comment
127,500348187656601600,500319675797209088,"If we shot everyone in the street for stealing, imagine the carnage on Wall St. mikebrown ferguson","Does Missouri, St. Louis County &amp; Ferguson have rules &amp; laws about cops using deadly force? What are they?",ferguson,query
128,553590107807428608,553587672137334785,AFP: suspected CharlieHebdo gunmen have been killed,“SkyNewsBreak: AFP: suspected CharlieHebdo gunmen have been killed” yayyyboom,charliehebdo,support
129,524956642454941696,524947674164760577,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. cdnpoli ableg,Careful when reporting on life and death. Let's wait until we really know... when the news is not so chaotic,ottawashooting,comment
130,524966904885428226,None,,BREAKING UPDATE: Canadian soldier injured at Parliament Hill shooting dies Ottawa,ottawashooting,support
131,576327374628917248,576323086888361984,This appears to be the original source of the Putin/Kabayeva/Swiss clinic rumour,"Well, Blick is a tabloid, so I wouldn't necessarily believe everything they say :-)",putinmissing,support
132,525008177683636224,525003468659228672,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting StandforCanada,this matches the photo tweeted earlier today from a tourist who says it was taken moments before the shooting. /,ottawashooting,comment
133,524966301085995008,524940659778920448,Attack on Parliament: Soldier shot; gunman on the loose. Follow our developing story:,“globeandmail: Attack on Parliament: Soldier shot; gunman on the loose.” Thinking of everyone back home.,ottawashooting,support
134,552795069691232258,552791196247269378,"BREAKING: At least  killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says.",May God have mercy on our world. Not France this time for these killings,charliehebdo,comment
135,552808137737383936,552806757672964097,"UPDATE:  now confirmed dead in CharlieHebdo attack in Paris, is reporting. Story: (AP)","And Francistan will just roll over and do nothing. French Jews, get out while you can!",charliehebdo,support
136,552943855021330432,552783667052167168,"France:  people dead after shooting at HQ of satirical weekly newspaper CharlieHebdo, according to witnesses","LOL.  million Muslims in France, what a disgrace. the french worm president and politicians killed them. tine for croissants now",charliehebdo,comment
137,576513463738109954,None,,Putin reappears on TV amid claims he is unwell and under threat of coup,putinmissing,deny
138,500386447158161408,500381163866062848,Report: Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in ,"Wow. I thought a Tweep was being sarcastic, but...it really happened that way?!?",ferguson,query
139,553227312976908289,553160652567498752,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:,"Animals! Will they get their virgins in hell? Because, that's where they are going!",charliehebdo,comment
140,499453449206239232,499452664053104642,If we don't Jail these Rogue..Racist Cops they won't Stop Killing young Unarmed Black Men.. Sick,I was raised by a hater; + knew very wrong-always.But it baffles me w Diversity in creation y ppl hate rt race..,ferguson,comment
141,553591766893727744,553590459688570880,Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson AFP,PIC RT: “AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson AFP,charliehebdo,support
142,500301270532370433,500299354499198976,Racist LIE to make it seem like innocent black child was a criminal. It will not work!! Police LIE may start more riots,"- Even if not innocent, no justification for violating rights, removing due process &amp; execution Ferguson MURDER!",ferguson,comment
143,544284578068713473,544284034902528000,is there a live feed somewhere,yea ill link in  secs im not near comp,sydneysiege,comment
144,500429451323523073,500391222075076610,"Store owner told Monday that there was a theft, but said it was not MichaelBrown; said it was someone else Ferguson","Y'all --&gt; ""andybankertv Store owner told Monday that there was a theft, but said it was not MichaelBrown said it was someone else""",ferguson,comment
145,500488971080962048,500486955692728320,you don't. I also think you're lying abt your entire online identity.,u win. i'm apparently not qualified for hottie of the week anymore. take it back.,ferguson,deny
146,500387275767681024,500381163866062848,Report: Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in ,"Those times when you laugh at a funny, sarcastic, and ridiculous tweet and then realize it was neither of those...",ferguson,comment
147,544374511194632192,None,,UPDATE: Total of  people have been able to get out of Sydney cafe during hostage situation:,sydneysiege,support
148,544279084939767808,544278335455776769,"BREAKING Hostages held inside Sydney cafe, Islamic flag held up","Actually debate on the flag BREAKING Hostages held inside Sydney cafe, Islamic flag held up”",sydneysiege,comment
149,524923588701614080,524923462398513152,Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill,Be safe!,ottawashooting,comment
150,524933596113801218,524925215235911680,BREAKING news: Shots fired at Parliament Hill. Follow developing story:,,ottawashooting,comment
151,524939593196793856,524937721383755776,Canadians will be vigilant and strong. We won't be 'bullied' and intimidated. ParliamentHill,we are with you! ,ottawashooting,support
152,544517033644556288,544514570367168512,SydneySiege: Latest video of hostages escaping.,Illegal Aliens will kill  US Citizens today in the USA and Fox will report on NONE of them: Obama thanks you....,sydneysiege,support
153,544315887491117058,544315524646043650,That's funny!!,in less than  hrs his headband will really be telling the tuuth..LOL!,sydneysiege,comment
154,500757739480842242,500741014181531648,i had no idea that was her mom.,Yep!! Splitting image in everything except one has black hair and other blonde....,ferguson,query
155,525057584416292867,525056576038518785,Soldier killed in Canada shooting was a young reservist with a six-year-old son,the price we pay for allowing Muslim th Columns to roam freely in the West. Enough.,ottawashooting,comment
156,553508576422285312,553506608203169792,"Map shows industrial estate where  CharlieHebdo suspects are holed up, surrounded by police","Don't deny them their just reward, expadite dispatch ....., there's a small hitch though ..",charliehebdo,comment
157,553184482241814530,None,,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. CharlieHebdo",charliehebdo,deny
158,544333165612269569,544277459500556288,Are you sure they have guns ?? Australia has banned a lot of them ??,okay… just because guns are banned doesn't mean people don't have them please be aware of that,sydneysiege,comment
159,553549149787140096,553548567420628992,"AFP reports there are  dead, and  hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",Not so much separated. There're links between them.,charliehebdo,comment
160,500406172155777025,500405555282726912,"per chief belmar: ""a shot was fired inside the car, and Brown was eventually shot about  feet away from the vehicle.""",And there was a struggle inside the car. How do we know Brown didn't get the gun and fire the shot during the struggle?,ferguson,support
