,parent_tweet,id,classification
40,Hopefully he got hold of some American CIA provocateurs and sabatoger's in Moscow red handed for killing Nemtsov.,576801654118428672,comment
41,hehe u Jews are good by changing subjects.open another topic. We are talking of anti semitsm and anti islam,552815897425891328,comment
42,Someone needs to explain how the cop shot MichaelBrown &amp; then NEVER called an ambulance?,500319394325479424,comment
43,It has everything  do with Islam. U dont see the Jehovah's witnesses cutting heads off &amp; bombing people!,544991347304714240,comment
44,Stick to the facts and stop trying to scare thr australian puplic!,544355074672033792,deny
45,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,544285782639267840,comment
46,all I am trying to point out is that sensationalism has never been very useful to anyone. Canada terror,524969433308340224,comment
47,"Getting the word out about an active shooter situation seems pretty helpful, but please, tell us what you'd have done.",525000734992248832,deny
48,The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of HamOnt ottawashooting,525031054537936897,comment
49,"UPDATE:  now confirmed dead in CharlieHebdo attack in Paris, is reporting. Story: (AP)",552812322075729920,deny
50,St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about  a.m. Man in critical. ferguson,499456567990026240,query
51,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,544520807074918400,deny
52,gm wow just cld Potus all but N wrd on air.Birthers,499532946412687360,comment
53,"MORE: Police confirm  hostages escape Sydney cafe, unknown number remain inside Sydneysiege",544370150359572480,comment
54,Live Updates: Siege in Sydney Cafe,544284571626635266,comment
55,Stills from eyewitness video show two CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man,552852233901965313,comment
56,I was raised by a hater; + knew very wrong-always.But it baffles me w Diversity in creation y ppl hate rt race..,499459462965362688,comment
57,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:,553237817086967809,comment
58,stay safe. Hope you're never in the same situation.,524964692423630849,support
59,BREAKING news: Shots fired at Parliament Hill. Follow developing story:,524937817924067328,comment
60,The gunman in Ottawa has been shot and killed. I'm at a loss for words this morning. That isn't my Canada.,524939106367721472,support
61,"Hostage-taker in supermarket siege killed, reports say. ParisAttacks",553591557325336576,query
62,I don't have it.. why don't you try her here,552844745647460352,comment
63,Breaking: Gunman at Paris store threatens to kill hostages if CharlieHebdo suspects are harmed.,553578217387614208,comment
64,"CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports",552814012791279617,comment
65,Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog:,524961643688890368,comment
66,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters.,524991797630865408,comment
67,"Question for Ferguson police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIE",500281521841139712,support
68,SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window,544280076628414464,comment
69,“AFP: BREAKING CharlieHebdo gunmen's hostage freed and safe after police assault” Hoping this is accurate.,553587741720854528,query
70,A lot of shifting sands in the coverage right now. We'll know soon enough.,553552100417110017,comment
71,Update: Ferguson police release stills from convenience store footage showing robbery,500287202124103680,comment
72,"UPDATE:  people being held hostage in Sydney shop, Opera House evacuated after suspicious package found: reports",544300001568911360,comment
73,In what world do you let a cop who killed someone leave town? Ferguson,500371968831787009,comment
74,UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in CharlieHebdo shooting - Reports,553551562732470272,comment
75,URGENT:  gunmen involved in deadly attack on CharlieHebdo - French interior minister Paris,552834026948415488,comment
76,".mmwlawtaos - Ferguson PD tried to justify probable cause, even st &amp; d shot, everything after = premeditated murder.",500307074589659137,comment
77,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. CharlieHebdo",553195335661912064,comment
78,"Ferguson PD charged HenryDavis w/ ""destruction of property"" for bleeding on their uniforms:",500379240299122690,comment
79,"Hostage-taker in supermarket siege killed, reports say. ParisAttacks",553591773537513473,comment
80,"they've systematically only released information that makes them look good, even info that might taint",500321053197864961,deny
81,Line of police cars with high beams on greets anyone trying to enter Ferguson. It's shut down. No media allowed.,499368327530414080,comment
82,"Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated""",544320115647741952,support
83,How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. Ferguson,500340654841798656,comment
84,"“mashable: Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up SydneySiege” Uber=ugly opportunism!",544354628775600128,deny
85,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,544282786039726080,comment
86,Up to  held hostage in Sydney Lindt Cafe siege,544292185722851329,support
87,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog:",525061909968478208,support
88,"I don't believe that was his ""point"" at all.",499693411130429443,support
89,BREAKING: Gunman at kosher grocery store threatens to kill hostages if police storm terrorist brothers,553584470264410113,comment
90,BREAKING: At least two people have died following the SydneySiege.  people are being treated by paramedics.,544518918912495616,comment
91,"Haron Monis,Hostage-taker in Sydney: Fled Iran ,suspect in ex-wife killing, sex assaults",544530369312477184,comment
92,Just shoot him! Marksman have clearly had enough opportunities to do so,544478273238212608,comment
93,MikeBrown would need to be shot in Benghazi for foxnews to cover it,499596317413621760,comment
94,BAM ANTI-WHITES get caught with their foot in their mouth in front of the WORLD LMAO,500308482676240384,comment
95,Photos of alleged robbery involving Michael Brown in Ferguson (via police),500295446578085889,comment
96,Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.,524946868887756801,comment
97,"Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. sydneysiege",544392471007227904,support
98,In what world do you let a cop who killed someone leave town? Ferguson,500382019109810176,deny
99,at least your polite self absorbed person.,524978385660153856,comment
100,how do we know the guy isn't just pissed that he got fired or foreclosed on. Or his gf is cheating on him.,544314667795873792,comment
101,At least  dead in the Paris shooting. Updated story and background info: CharlieHebdo,552814805456027648,comment
102,"Call me bad Canuck, I hope those fucktards get their asses kicked.",524970687803715584,comment
103,Paris says highest alert level extended north to region where attack suspects spotted -,553213579672178689,query
104,I had confirmed the first gunman was dead when I tweeted.,524958146343624704,support
105,Rural region of northern France searched in hunt for CharlieHebdo gunmen - latest updates,553535342049902592,comment
106,StopKillingInnocentPeople FreePalestine freeBurma FreeSyria FreeKashmir,553550482925715458,comment
107,Update: Ferguson police release stills from convenience store footage showing robbery,500288302100918272,comment
108,This afternoon we've lowered our flags to half mast in honour of the Canadian Reservist who lost his life in Ottawa.,525036307173879808,comment
109,BREAKING UPDATE: Gunman says four devices are located around Sydney. Security response underway. Police calling for calm. News,544302024352092162,comment
110,"Police Officer down in picture, killed by armed terrorists who shouted, ""the prophet is avenged"" after slaughtering him.",552842578539073537,comment
111,"Currently the FoxNews website has zero, repeat, ZERO coverage of the Ferguson protests, probably due to lack of cowboy hats.",499369781846233088,comment
112,"BREAKING :  dead, several injured in shootout North-East of Paris (French radio ) CharlieHebdo",553485100932157440,support
113,What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. ferguson,500368855051804672,support
114,Did anyone think of comparing the clothes that MikeBrown was wearing when he was laying on the street to the security footage? Ferguson,500288465355816960,comment
115,“AFPphoto: CharlieHebdo -  dead including  police in Paris shooting. Photo AFP tragedy,552834504520630274,comment
116,"RCMP to hold news conference on Ottawa shootings at  pm ET,  am PT. Watch live coverage",525043841490251776,comment
117,"Black Islamic flag being held up in window of lindt chocolate store in Martin Place, Sydney - hostages inside.",544276206728671232,comment
118,Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. Ferguson MikeBrown,500311633458364416,comment
119,Banksy says JeSuisCharlie in a beautiful way (vi,552997008483811328,comment
120,"If we shot everyone in the street for stealing, imagine the carnage on Wall St. mikebrown ferguson",500348187656601600,query
121,AFP: suspected CharlieHebdo gunmen have been killed,553590107807428608,support
122,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. cdnpoli ableg,524956642454941696,comment
123,This appears to be the original source of the Putin/Kabayeva/Swiss clinic rumour,576327374628917248,support
124,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting StandforCanada,525008177683636224,comment
125,Attack on Parliament: Soldier shot; gunman on the loose. Follow our developing story:,524966301085995008,support
126,"BREAKING: At least  killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says.",552795069691232258,comment
127,"UPDATE:  now confirmed dead in CharlieHebdo attack in Paris, is reporting. Story: (AP)",552808137737383936,support
128,"France:  people dead after shooting at HQ of satirical weekly newspaper CharlieHebdo, according to witnesses",552943855021330432,comment
129,Report: Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in ,500386447158161408,query
130,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack:,553227312976908289,comment
131,If we don't Jail these Rogue..Racist Cops they won't Stop Killing young Unarmed Black Men.. Sick,499453449206239232,comment
132,Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson AFP,553591766893727744,support
133,Racist LIE to make it seem like innocent black child was a criminal. It will not work!! Police LIE may start more riots,500301270532370433,comment
134,is there a live feed somewhere,544284578068713473,comment
135,"Store owner told Monday that there was a theft, but said it was not MichaelBrown; said it was someone else Ferguson",500429451323523073,comment
136,you don't. I also think you're lying abt your entire online identity.,500488971080962048,deny
137,Report: Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in ,500387275767681024,comment
138,"BREAKING Hostages held inside Sydney cafe, Islamic flag held up",544279084939767808,comment
139,Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill,524923588701614080,comment
140,BREAKING news: Shots fired at Parliament Hill. Follow developing story:,524933596113801218,comment
141,Canadians will be vigilant and strong. We won't be 'bullied' and intimidated. ParliamentHill,524939593196793856,support
142,SydneySiege: Latest video of hostages escaping.,544517033644556288,support
143,That's funny!!,544315887491117058,comment
144,i had no idea that was her mom.,500757739480842242,query
145,Soldier killed in Canada shooting was a young reservist with a six-year-old son,525057584416292867,comment
146,"Map shows industrial estate where  CharlieHebdo suspects are holed up, surrounded by police",553508576422285312,comment
147,Are you sure they have guns ?? Australia has banned a lot of them ??,544333165612269569,comment
148,"AFP reports there are  dead, and  hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",553549149787140096,comment
149,"per chief belmar: ""a shot was fired inside the car, and Brown was eventually shot about  feet away from the vehicle.""",500406172155777025,support
150,UPDATE: CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer,552818286803443713,comment
151,"Sydney Opera House evacuated, concourse deserted SydneySiege (via",544293447717650432,comment
152,I'll give you that.,553010394327834625,comment
153,".Mr_Odin No, they presumed their customers weren't economic illiterates. They presumed wrong.",544345919575949312,comment
154,Afghanistan is the only country needed help,524973155014946816,deny
155,"Black Islamic flag being held up in window of lindt chocolate store in Martin Place, Sydney - hostages inside.",544272691260178432,comment
156,It's a LIE. Police originally said confrontation started b/c cop told Michael to get out of street &amp; walk on sidewalk.,500302378931716096,comment
157,"BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag",544282548197916672,comment
158,"Currently the FoxNews website has zero, repeat, ZERO coverage of the Ferguson protests, probably due to lack of cowboy hats.",499371743773863936,comment
159,don't have to give cpr. Other ways to help. But yeah keep looking for profit. Great professionalism.,524996775049191424,comment
160,Hoppla! Swiss Rumors: Putin absence due to girlfriend Alina giving birth in Ticino,576324695420743680,comment
161,"journalists are not innocent, hence the media blackout against IS by US. Journalism is a crime",524937325932212224,comment
162,Police confirm that sydneysiege is finally over. Two people reportedly injured after suffering gunshot wounds,544520557803225088,comment
163,Update - AFP: an unnamed police source says the killing of the policewoman in Paris on Thursday is linked to the CharlieHebdo attack,553820631087988736,comment
164,"it STARTED as a race issue, then people tried to SWAY it to an issue of militarization, dont get it twisted",500324150519808000,query
165,BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of ISIS. SydneySiege,544292377897488384,comment
166,Police in Ferguson plan to release name of officer who shot unarmed teen Michael Brown:,500274502652411904,comment
167,Did you see him stand ' away and get shot? No. A few people who have a problem with cops did.,500405250755690496,comment
168,"Haron Monis,Hostage-taker in Sydney: Fled Iran ,suspect in ex-wife killing, sex assaults",544521204401729536,query
169,"BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag",544284075721494528,support
170,Rural region of northern France searched in hunt for CharlieHebdo gunmen - latest updates,553471188530249730,comment
171,"it's not race were all targeted by the governments, cops, swat, FBI, they'll silence anyone who'll try to tell the truth",500318691909959681,deny
172,I see a lot of people making assumptions with limited facts. We haven't even seen an autopsy report.,500384077481259008,support
173,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. CharlieHebdo",553185239791857664,comment
174,are you for real?,524973649527193601,comment
175,Talk talk we need action toigh action.,544287503310528513,comment
176,“onewaymule: I'm fascinated by Ray Hadley's role in sydneysiege. Genuine intermediary or opportunistic blowhard?” Door B,544762521974890496,comment
177,So it's not ISIS but Islam in general. Much better... leftards better think up a new word islamaphobia,544281262371119104,comment
178,SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window,544273878668050432,comment
179,Uber intros surge pricing in downtown Sydney during hostage siege,544315302901608448,comment
180,"Alasscan it's a lie. Pics are fake. No robbery was reported! If true, police would have said it last week to stop riots",500303952391331843,comment
181,so free or surge pricing? confused,544347670630785026,comment
182,"So if someone was coming at you and beating the fuck out of you threating your life, you wouldnt shoot them if you could?",500359435911716864,comment
183,Sure but in how many years has this happened? This is extremely unusual.,524965546379739136,comment
184,just send em a Bart Simson flag w/themiddle finger and a bullet,544394097340207104,comment
185,"dude, come on. This rogue cop apparently thought he was Judge Dredd and murdered an unarmed kid.",500415054559203329,support
186,Shooting in Canadian parliament comes day after ISIS-inspired radical drove in Canadian soldier. Also reports of shooting at War memorial/,524936215637000192,comment
187,CharlieHebdo -  dead including  police in Paris shooting. Photo AFP,552793785747660801,support
188,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,544282085763346432,comment
189,Watch video showing gunfire inside Canada's parliament in Ottawa,524961388532228098,support
190,i wnt blame u fr saying this..bt u forgot hw many ppl's lives are being saved by these men...!!!,524979653027856385,comment
191,Flag in window of Sydney Lindt cafe not an ISIS flag. Reads: ‘There is no God but Allah and Muhammad is the messenger of God’ (liztilley),544279451760996352,comment
192,Five hostages have escaped the besieged Lindt Cafe in Sydney | Our latest update:,544399653332992000,comment
193,Photos of alleged robbery involving Michael Brown in Ferguson (via police),500298524953939969,comment
194,Up to  held hostage in Sydney Lindt Cafe siege,544288801926156289,support
195,That's why there are professionals. Average citizen can only currently make a guess.,524967669083414528,deny
196,"That was very ""SLICK"" of the Police Chief to create a narrative that MikeBrown was a ""suspect"" in a robbery! Ferguson",500280396010229760,deny
197,Ferguson chief let most of day go by b disclosing (after repeated Qs) that cop who killed MikeBrown knew nothing about robbery. DANGER,500390676802961408,comment
198,"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists Ferguson",500646220755251201,support
199,French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market,553546903842222080,comment
200,Full statement from PM Abbott on Sydneysiege MartinPlace Lindt.,544290247710744576,comment
201,TV channels have chosen not to show videos of hostages relaying sydneysiege gunman's demands.,544480395585392641,support
202,"Sydney Opera House evacuated, concourse deserted SydneySiege (via",544306389544624129,comment
203,relax.... Every other work out of cuomo and coopers mouth was kosher,553587104656404481,comment
204,Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. Ferguson MikeBrown,500307435668930561,comment
205,They have - however - confirmed  separate shootings. So there's that.,524961635136704512,comment
206,Rural region of northern France searched in hunt for CharlieHebdo gunmen - latest updates,553462961365581824,comment
207,Line of police cars with high beams on greets anyone trying to enter Ferguson. It's shut down. No media allowed.,500473967509909504,deny
208,SydneySiege: Latest video of hostages escaping.,544518602469441537,comment
209,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times],521376439099465728,comment
210,"That was very ""SLICK"" of the Police Chief to create a narrative that MikeBrown was a ""suspect"" in a robbery! Ferguson",500280663065772032,comment
211,"Agreed, Dante!",500292755885531138,comment
212,Dorian's lawyer said in CNN interview Dorian had admitted it as he give his witness statement,500939702565105664,comment
213,"Hostage-taker at Paris store demands release of KouachiBrothers, police union spokesman says.",553580075082203136,comment
214,The CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station,553301531340972032,comment
215,"What I mean is that they know Muslims take no jokes when it's related to their religion, book or prophet. Why do it?",552811900686176257,comment
216,"Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists Ferguson",500320646396518400,comment
217,“LePoint: CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.”,552806767625641984,support
218,is public transport free?,544331906469203968,comment
219,Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least  injured -,524930767810756608,comment
220,"UPDATE:  people being held hostage in Sydney shop, Opera House evacuated after suspicious package found: reports",544299543899435008,comment
221,A man believed to be the gunman filmed wearing a black headband inside the cafe,544310038613852160,comment
222,"Yeah I think so. They're getting $+, riders aren't wearing diff. Good gesture. Poor message transmission",544354334348029952,comment
223,Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery.,500386880635301889,comment
224, times out !,500285798089252865,comment
225,BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.,544279970483159040,comment
226,She is SOOOOO Stupid that she is completely incapable of realising it.,544294284015329280,deny
227,"BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag",544282441091788801,deny
228,".harrytuckerr No, you refused to pay for them to be at the phones. Enjoy your walk.",544352643242409984,comment
229,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place,544272759657078785,comment
230,Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery.,500386770857758721,comment
231,On the face of it that's unusual because Islamic terrorists are usually suicidal. So I suspect it's a deliberately /,553552734935601152,comment
232,BREAKING UPDATE: Gunman says four devices are located around Sydney. Security response underway. Police calling for calm. News,544302363960684544,comment
233,yes because islam is true religion. They don't take Bullshit from fools like Charlie Have died.,552816942193467396,comment
234,St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about  a.m. Man in critical. ferguson,499460810704302080,query
235,oh please CNN cut the bullshit them dirty ass cops will say anything,500371547496796162,comment
236,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa,524929224260714499,comment
237,Uber Sydney trips from CBD will be free for riders. Higher rates are still in place to encourage drivers to get into the CBD.,544330751991230465,comment
238,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting StandforCanada,525009203187171329,comment
239,still unclear in the context of the shooting of an unarmed teen. But ok.,500300308145528832,comment
240,suggest you change 'martyr' themselves to 'kill themselves' in your TV news text - don't dignify them,553512763906334722,support
241,"UPDATE:  now confirmed dead in CharlieHebdo attack in Paris, is reporting. Story: (AP)",552808047643729920,support
242,"hi, where did you source this pic?",525404874796961794,query
243,AFP: suspected CharlieHebdo gunmen have been killed,553587974680875008,query
244,"“ComplexMag: In , Ferguson police beat a man and charged him for bleeding on them: read this",500378624113909760,comment
245,Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. Ferguson MikeBrown,500444523039039488,comment
246,Racist shock jocks Jones &amp; Hadley have sent more angry young men into arms of Daesh than anybody!,544486255921078272,comment
247,CH mocks all religions. Only one replies with assault rifles. + there were policement there. Killed too.,552810426422267904,comment
248,if you're part of the establishment then you're part of the problem. CUNT,544497329920036865,deny
249,BREAKING: Police have confirmed that the SydneySiege is over. News,544517553427865601,comment
250,Hostages in Sydney cafe made to hold up Islamic flags,544297460936753152,comment
251,UPDATE Three men including two brothers identified in France newspaper attack: source JeSuisCharlie CharlieHebdo,552989544589430784,deny
252,Update: Ferguson police release stills from convenience store footage showing robbery,500297133841731585,comment
253,The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of HamOnt ottawashooting,525032985738084352,comment
254,Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. Ferguson,498440508256292864,comment
255,ele tá com ebola,521371742942797825,comment
256,just curious: does 'evacuate' mean leave country or city/area? Do you know?,544309593916989440,comment
257,CharlieHebdo killers shot dead by police,553587040886206466,comment
258,AFP: suspected CharlieHebdo gunmen have been killed,553589786775412737,comment
259,More like why was DarrenWilson trying to pull MikeBrown into police car thru the window?,500292093487886336,comment
260,"legally speaking , yeah he was.",500324845427916800,deny
261,"UPDATE:  people being held hostage in Sydney shop, Opera House evacuated after suspicious package found: reports",544298655336136704,comment
262,Geoblock lifted on ABCNews. Streaming coverage of the Martin Place siege in Sydney here,544282252302381056,comment
263,"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in Ferguson",500283973239865345,support
264,Up to  held hostage in Sydney Lindt Cafe siege,544290755624198144,comment
265,One shooter is dead. Shot by the Sargent at Arms.,524961799641526273,comment
266,"Nearly k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop. Where's Al, Jesse? tcot ferguson",499688811300151297,comment
267,BREAKING: At least  killed in Paris hostage situation via,553557332261490688,support
268,"Yeah, I would totally expect a kid that's been shot to run away, get shot again, and decide to charge.",500400890126155777,query
269,"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in Ferguson",500285250791288832,comment
270,FIRST PHOTOS: Hostage pressed against a window. SydneySiege,544301820865429506,support
271,"Nearly k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop. Where's Al, Jesse? tcot ferguson",499641023950512128,comment
272,"Evacuate the city, asap! We do not know if he acts on his own yet he threatens he has devices all over Sydney.",544294473292079104,support
273,“SkyNews: Live Updates: Siege in Sydney Cafe,544288050810216448,comment
274,And at least Barney Fife would have been HONEST from the first hour.,500294835559866371,comment
275,What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. ferguson,500365432902393859,comment
276,"Oh. So NOW the Ferguson police chief says the cop didn't know about the robbery when he stopped MikeBrown. The kid was ""jaywalking""? BS!",500379064146751490,comment
277,BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place,544270541725511680,comment
278,Here's that dramatic video via of shots fired inside parliament building: Ottawa shooting,524944416721862656,comment
279,Update: Ferguson police release stills from convenience store footage showing robbery,500288271650684928,comment
280,"strongly agree. I know policing is a terribly high-stress job, but most people are not criminals.",500323321519800321,support
281,Incorrect. Was on sick person call &amp; then driving came across Brown &amp; friend walking &amp; asked they get off the road,500478509366915072,comment
282,UPDATE: CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer,552814812363620352,comment
283,They are releasing irrelevant info that doesn't affect the case of Michael Brown's shooting,500313920301588480,comment
284,Paris Manhunt:  CharlieHebdo attackers with AK- rifles &amp; reportedly rocket-propelled grenade still at large,552835091714416640,comment
285,"BREAKING: Shots fired, hostages taken in manhunt for CharlieHebdo attackers, police say",553536816238710784,query
286,Paris Murder Suspects Cornered with Hostage,553490860369653761,comment
287,"Nearly k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop. Where's Al, Jesse? tcot ferguson",499612832363581440,comment
288,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting StandforCanada,525006759807967232,deny
289,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting StandforCanada,525007273832497154,comment
290,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa,524926310565814272,comment
291,"Escaped SydneySiege hostage, Elly Chen, a top student and skilled sportswoman",544510279694823424,comment
